Monitoring.Location.ID,Monitoring.Location.Latitude,Monitoring.Location.Longitude,qual,r,r_units,Detection_limit,strd,Set_detection_limit,1/2_Det_lim,Set to 0,Set_1/2_crit,num_samples
13141-ORDEQ,45.66386253,-121.525546,<,0.0222,ug/l,0.0222,0.000022,0.0222,0.0111,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0217,ug/l,0.0217,0.000022,0.0217,0.01085,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0216,ug/l,0.0216,0.000022,0.0216,0.0108,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0216,ug/l,0.0216,0.000022,0.0216,0.0108,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0224,ug/l,0.0224,0.000022,0.0224,0.0112,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0212,ug/l,0.0212,0.000022,0.0212,0.0106,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0213,ug/l,0.0213,0.000022,0.0213,0.01065,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0211,ug/l,0.0211,0.000022,0.0211,0.01055,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0217,ug/l,0.0217,0.000022,0.0217,0.01085,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0217,ug/l,0.0217,0.000022,0.0217,0.01085,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0213,ug/l,0.0213,0.000022,0.0213,0.01065,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0243,ug/l,0.0243,0.000022,0.0243,0.01215,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.022,ug/l,0.022,0.000022,0.022,0.011,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0216,ug/l,0.0216,0.000022,0.0216,0.0108,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0227,ug/l,0.0227,0.000022,0.0227,0.01135,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0216,ug/l,0.0216,0.000022,0.0216,0.0108,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0226,ug/l,0.0226,0.000022,0.0226,0.0113,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0215,ug/l,0.0215,0.000022,0.0215,0.01075,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0218,ug/l,0.0218,0.000022,0.0218,0.0109,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.021,ug/l,0.021,0.000022,0.021,0.0105,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,<,0.0209,ug/l,0.0209,0.000022,0.0209,0.01045,0,0.000011,95
13141-ORDEQ,45.66386253,-121.525546,=,0.000328,ug/l,0.0000582,0.000022,0.000328,0.000328,0.000328,0.000328,95
13141-ORDEQ,45.66386253,-121.525546,=,0.000434,ug/l,0.0000575,0.000022,0.000434,0.000434,0.000434,0.000434,95
13148-ORDEQ,45.6992131,-121.5197286,<,0.0198,ug/l,0.0198,0.000022,0.0198,0.0099,0,0.000011,6
13148-ORDEQ,45.6992131,-121.5197286,=,0.000403,ug/l,0.0000567,0.000022,0.000403,0.000403,0.000403,0.000403,6
13148-ORDEQ,45.6992131,-121.5197286,<,0.0194,ug/l,0.0194,0.000022,0.0194,0.0097,0,0.000011,6
13148-ORDEQ,45.6992131,-121.5197286,=,0.000532,ug/l,0.0000593,0.000022,0.000532,0.000532,0.000532,0.000532,6
13148-ORDEQ,45.6992131,-121.5197286,<,0.0195,ug/l,0.0195,0.000022,0.0195,0.00975,0,0.000011,6
13148-ORDEQ,45.6992131,-121.5197286,=,0.000475,ug/l,0.000056,0.000022,0.000475,0.000475,0.000475,0.000475,6
13253-ORDEQ,45.64359807,-121.5441517,<,0.0195,ug/l,0.0195,0.000022,0.0195,0.00975,0,0.000011,6
13253-ORDEQ,45.64359807,-121.5441517,=,0.000248,ug/l,0.0000565,0.000022,0.000248,0.000248,0.000248,0.000248,6
13253-ORDEQ,45.64359807,-121.5441517,<,0.0196,ug/l,0.0196,0.000022,0.0196,0.0098,0,0.000011,6
13253-ORDEQ,45.64359807,-121.5441517,=,0.0002,ug/l,0.0000597,0.000022,0.0002,0.0002,0.0002,0.0002,6
13253-ORDEQ,45.64359807,-121.5441517,<,0.0204,ug/l,0.0204,0.000022,0.0204,0.0102,0,0.000011,6
13253-ORDEQ,45.64359807,-121.5441517,=,0.000134,ug/l,0.0000566,0.000022,0.000134,0.000134,0.000134,0.000134,6
34102-ORDEQ,45.53758091,-122.3792492,=,0.000504,ug/l,0.0000576,0.000022,0.000504,0.000504,0.000504,0.000504,6
34102-ORDEQ,45.53758091,-122.3792492,<,0.0195,ug/l,0.0195,0.000022,0.0195,0.00975,0,0.000011,6
34102-ORDEQ,45.53758091,-122.3792492,<,0.0202,ug/l,0.0202,0.000022,0.0202,0.0101,0,0.000011,6
34102-ORDEQ,45.53758091,-122.3792492,<,0.02,ug/l,0.02,0.000022,0.02,0.01,0,0.000011,6
34102-ORDEQ,45.53758091,-122.3792492,=,0.000329,ug/l,0.0000606,0.000022,0.000329,0.000329,0.000329,0.000329,6
34102-ORDEQ,45.53758091,-122.3792492,=,0.000929,ug/l,0.0000579,0.000022,0.000929,0.000929,0.000929,0.000929,6
37091-ORDEQ,45.51261313,-122.3985427,<,0.0194,ug/l,0.0194,0.000022,0.0194,0.0097,0,0.000011,6
37091-ORDEQ,45.51261313,-122.3985427,<,0.0201,ug/l,0.0201,0.000022,0.0201,0.01005,0,0.000011,6
37091-ORDEQ,45.51261313,-122.3985427,=,0.0000625,ug/l,0.0000577,0.000022,0.0000625,0.0000625,0.0000625,0.0000625,6
37091-ORDEQ,45.51261313,-122.3985427,=,0.000496,ug/l,0.0000562,0.000022,0.000496,0.000496,0.000496,0.000496,6
37091-ORDEQ,45.51261313,-122.3985427,<,0.0197,ug/l,0.0197,0.000022,0.0197,0.00985,0,0.000011,6
37091-ORDEQ,45.51261313,-122.3985427,=,0.000471,ug/l,0.0000564,0.000022,0.000471,0.000471,0.000471,0.000471,6
